establishment,system_name,system_origin,system_serving,system_type
2009,BarterWorks,Canada,Kitchener,LETSystem
2009,Time Bank,New Zealand,Lyttelton,Time Bank System
2009,Byron Shire Community Exchange,Australia,Byron Shire,LETSystem
2009,Wellington Talent Exchange,New Zealand,Wellington Region,Community Exchange System
2009,St. Louis Community Exchange,United States,"Saint Louis, Missouri",Commercial Exchange System
2009,Shoalhaven Community Exchange,Australia,Shoalhaven,Community Exchange System
2009,Johannesburg Talent Exchange,South Africa,Johannesburg,Community Exchange System
2009,Kingston Bayside LETS,Australia,Melbourne,LETSystem
2009,Merit Exchange,United States,National,Merit Based Currency in Web Database
2009,SEL de MARS\\\\,France,SEL,Local Exchange Trading System  (LETS)
2009,La Route des SEL,France,177 rue Pierre Loti,Nuités = unités temps / nights = times units
2009,SEL\\,France,BP 60034,Local Exchange Trading System  (LETS)
2009,Talente Tauschkreis Vorarlberg TTKV,Austria,Vorarlberg,Regionale Komplementärwährung
2009,Cape Town Talent Exchange,South Africa,Cape Town,Community Exchange System
2009,GibundNimm-Forum,Germany,Baden-Württemberg,Mutual Credit System
2009,Baroon Dollar,Australia,"Hinterland, Sunshine Coast",Voucher Currency System
2009,AOCS Approved,United States,National,American Open Currency Standard
2009,SELAtlas,Belgium,Anderlecht,Système d'échange local LETS/SEL
2009,CREES,Australia,Caboolture,Community Exchange System
2009,PITNIO,Greece,Ierapetra,Local Exchange Trading System  (LETS)
2009,Time Bank of Ierapetra,Greece,Ierapetra,Time Bank System
2009,exchange*me,Germany,Deutschland,Marketplace Currency (ie. RGT)
2009,OVOLOS CC,Greece,GREECE,LETSystem
2008,The Maia Maia Project,Australia,Perth,Greenhouse Gas Reduction / Carbon Credits
2008,Proyecto Mutuo,Argentina,Martínez,Mutual Credit System
2008,Diamond Valley/Northern Suburbs LETS inc.,Australia,general public,LETSystem
2008,Adelaide LETS,Australia,Windsor Gardens,Local Exchange Trading System  (LETS)
2008,Moreland LETS,Australia,Moreland,LETSystem
2008,Charity Exchange Shop,Hungary,Szolnok,LETSystem
2008,EBB Barter,Germany,Arges,Commercial Exchange System
2008,bizunlimited,United Kingdom,SMEs,Commercial Exchange System
2008,Crom Alternative Exchange,Croatia,The whole wide World,Crom Alternative Exchange System
2008,DiBuck,United Kingdom,Internet,Fiat Currency System
2008,LETS Antwerpen Stad,Belgium,Antwerpen Stad,LETSystem
2008,DANEE,Italy,MILANESE,Fiat Currency System
2008,BrisLETS,Australia,Brisbane,LETSystem
2008,Wairarapa Green Dollar Exchange,New Zealand,Wairarapa,LETSystem
2008,Central Coast LETS,Australia,Central Coast of NSW,Local Exchange Trading System  (LETS)
2008,Qoin,Netherlands,Bedrijven,Commercial Exchange System
2007,SCEC,Italy,Progetto SCEC,Fiat Currency System
2007,absi,Denmark,Yes,Mutual Credit Hybrid
2007,Waldo County Community Exchange,United States,"Waldo county, Maine",Time Bank System
2007,Bega Valley LETS,Australia,Sth East NSW,Local Exchange Trading System  (LETS)
2007,Pagadoo Loyalty System,Spain,All communities,Credit Card Based Exchange System with Web access
2007,Tikiwiki + CC Mod,Spain,XAINGRA,Transaction Software
2007,Letsbuzz,United Kingdom,Leighton Buzzard area,LETSystem
2007,Swan Hills LETS,Australia,Perth Hills Region,LETSystem
2007,Bricioline,Italy,Italy,Mutual Credit Hybrid
2007,LETS den Haag,Netherlands,Den Haag,Local Exchange Trading System  (LETS)
2007,Common Goods,United States,Western Franklin County Massachusetts,Common Good Credit System
2007,North Quabin Timebank,United States,Central Massachusetts,Time Bank System
2007,TradeMarket,United States,Nevada City / Grass Valley,Mutual Credit System
2007,NDG Barter Network,Canada,NDG (Notre Dame de Grace),LETSystem
2007,EBB-Euro Barter Business,Germany,Rheinmünster,Commercial Exchange System
2007,CES Montreal,Canada,Montreal,Local Exchange Trading System  (LETS)
2007,Coinsystem,Germany,Nordrhein-Westfalen,Commercial Exchange System
2007,OSCurrency,United States,Austin Metro,Local Exchange Trading System  (LETS)
2007,LA21-Jugendprojekt I-MOTION,Austria,Wörgl,Voucher Currency System
2007,BruSEL,Belgium,Bruxelles,Local Exchange Trading System  (LETS)
2006,Ithaca HOURS,United States,"Ithaca, New York",HOURS System
2006,Scunnymoney,United Kingdom,Scunthorpe,Fiat Currency System
2006,"BerkShares, Inc.",United States,berkshires,Voucher Currency System
2006,NOCO Hours,United States,Fort Collins,HOURS System
2006,Solidário,Portugal,São Brás de Alportel,Community Barter System
2006,Die Oderblüte,Germany,LK Barnim u. Uckermark,Mutual Credit System
2006,Bath LETS,United Kingdom,Bath,Local Exchange Trading System  (LETS)
2006,Wageningen-LETS,Netherlands,"Wageningen, Renkum, Ede",LETSystem
2006,Kupon Merapi Mulia,Indonesia,"Daleman Village, Turi, Sleman",Voucher Currency System
2006,Por System,Thailand,Pawa Ampur Kang Hang Maew,Voucher Currency System
2006,Boon Kud Chum,Thailand,Satisuk Ampur Kud Chum,Mutual Credit System
2006,Jai System,Thailand,Non Taklang Ampur Nonsoong,Voucher Currency System
2006,Tiroler Stunde,Austria,Tirol,Community Way
2006,Urstromtaler,Germany,Magdeburg,Mutual Credit System
2006,Rössle,Germany,Stuttgart,REGIO System
2006,ナマケ,Japan,日本,Local Exchange Trading System  (LETS)
2006,Invercargill Barter & Exchange Systems,New Zealand,Southland,Community Barter System
2006,Maleny LETS,Australia,Maleny,Local Exchange Trading System  (LETS)
2006,Sydney and Illawarra LETS,Australia,Sydney,Community Exchange System
2006,Brod€inheit,Germany,Altenkirchen,Community Barter System
2006,Cooperativa de Trueque Almatroque,Spain,Alicante,Mutual Credit System
2006,VolmeTALER,Germany,Hagen,Voucher Currency System
2006,DreyEcker,Germany,79650 Schopfheim,Voucher Currency System
2006,TAUBER-FRANKEN e.V.,Germany,Creglingen,REGIO System
2006,Proyecto Trueke,Colombia,Pajarito,Marketplace Currency (ie. RGT)
2006,Hansemark,Germany,Hamburg,Gogo System
2006,Havelbluete,Germany,Land Brandenburg,REGIO System
2006,Lausitzer,Germany,Region Lausitz,REGIO System
2006,Lets Boemerang,Netherlands,Gouda e.o.,Local Exchange Trading System  (LETS)
2006,Chiemgauer,Germany,Prien,Voucher Currency System
2006,Barter System Poland,Poland,Poland,Commercial Exchange System
2006,LETS Studnicka,Slovakia,Bratislava,Local Exchange Trading System  (LETS)
2006,Tianguis Tlaloc,Mexico,Colonia Tlaxpana,Mutual Credit Hybrid
2006,CCD - Canterbury Community Dollars Exchange Inc.,New Zealand,Christchurch,Local Exchange Trading System  (LETS)
2006,Lokale Ruilkring,Netherlands,Unknown,Mutual Credit System
2006,RES - Hét andere Geld!,Belgium,JA,Valuable Local Currency (VLC)
2006,Community Eco-Village 社區經濟村計劃,China,"Shatin, Hong Kong",Time Dollar System
2006,Stichting LETS Tiel,Netherlands,Tiel,Local Exchange Trading System  (LETS)
2006,Talente Tauschring Hannover,Germany,Hannover,Mutual Credit System
2005,OORD,Netherlands,OORD,Mutual Credit System
2005,Victoria Local Exchange Trading System,Canada,"Victoria, British Columbia",Local Exchange Trading System  (LETS)
2005,"stichting LETS Utrecht e.o., het Sterrenstelsel",Netherlands,Utrecht,Local Exchange Trading System  (LETS)
2005,Circle of Gifts,Sweden,Internet users,Community Barter System
2005,Time Banks USA,United States,Maine,Time Bank System
2005,Philadelphia and Boston HOURS,United States,Philadelphia and Boston,HOURS System
2005,Burlington Currency Project (Bread),United States,Burlington,Mutual Credit Hybrid
2005,Mutirão Quilombo da Serra,Brazil,Poço do Peixe,Marketplace Currency (ie. RGT)
2005,Earth Day Money,Japan,Shibuya,Community Way
2005,unknown,Japan,unknown,Community Barter System
2005,HALLERTAUER,Germany,85276 Pfaffenhofen,REGIO System
2005,VLC Porto Alegre,Brazil,Rio Grande do Sul,Valuable Local Currency (VLC)
2005,C3 Mais Tobias,Brazil,Sergipe,Consumer Commerce Circuit (C3)
2005,C3 CompRaS,Brazil,Rio Grande do Sul,Consumer Commerce Circuit (C3)
2005,C3 Paraná,Brazil,Paraná,Consumer Commerce Circuit (C3)
2005,Toronto Dollars,Canada,Toronto,Voucher Currency System
2005,Hanbat LETS,South Korea,Hanbat LETS,Local Exchange Trading System  (LETS)
2005,New Moray LETS,United Kingdom,Moray,Local Exchange Trading System  (LETS)
2005,Fourth Corner Exchange,United States,Pacific Northwest,Community Cooperation System
2005,Rheingold,Germany,Düsseldorf,REGIO System
2005,Salt Spring Dollars,Canada,Salt Spring Island,Voucher Currency System
2005,にほうコミュニティ交換システム,Japan,福岡・大分県境の山国川河口地域,Mutual Credit System
2005,NOPPES,Netherlands,Amsterdam,Mutual Credit System
2005,Landmark,Germany,Reinstädt,REGIO System
2005,fm(future money),South Korea,Minaisa Club,Mutual Credit System
2005,Tamworth Hours,Canada,Ontario,HOURS System
2005,Red de Trueque Solidaria,El Salvador,"Apulo, Jiboa, Espinal",Voucher Currency System
2005,Red Empresarial de Trueque (RET),El Salvador,San Salvador,Mutual Credit System
2005,JEU,France,Francophonie,Jardin d'Echange Universel
2004,Calgary Dollars,Canada,Calgary,Fiat Currency System
2004,Community Oriented Mutual Economy,China,Wanchai,Fiat Currency System
2004,Tabu Shell Money,Papua New Guinea,Rabaul,Traditional / Cultural System
2004,UDIS COMAL,Honduras,Various rural areas,Voucher Currency System
2004,LETS Svojpomoc,Slovakia,Bratislava,Local Exchange Trading System  (LETS)
2004,Thames Green Dollar Exchange,New Zealand,Coromandel,Mutual Credit System
2004,Madison Hours,United States,"Madison, WI",HOURS System
2004,Thankyous at Friendly Favors,United States,"San Francisco Bay Area, California, USA",Mutual Credit System
2004,ACV/Compartienda,Mexico,Virtual interaction amomg various communities,Community Barter System
2004,Mitrapaap,Thailand,Chatujak,Community Barter System
2004,PLENTY,United States,central North Carolina,Fiat Currency System
2004,RÉEL,Canada,"Granby, Québec",Community Way
2004,The St Augustine SunMoney,United States,"St Augustine, Florida",
2004,Göteborgs LETS,Sweden,Göteborg,Local Exchange Trading System  (LETS)
2004,Community Exchange System,South Africa,International,Community Exchange System
2004,Hour Third Market Network (Tamworth Wing),Canada,"Tamworth, Ontario",HOURS System
2004,H.A.N.D.S.,New Zealand,Takaka,Mutual Credit System
